fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,fecha_create,fecha_update
12 nov 2024,260550,260550,259280,260000,260000,118,2025-05-5,2025-05-5
11 nov 2024,267170,267170,261120,261120,261120,20,2025-05-5,2025-05-5
8 nov 2024,268850,269460,268290,268750,268750,1038,2025-05-5,2025-05-5
7 nov 2024,266250,269910,266250,269840,269840,676,2025-05-5,2025-05-5
6 nov 2024,273450,273450,265940,266760,266760,427,2025-05-5,2025-05-5
5 nov 2024,274300,274390,274030,274030,274030,23,2025-05-5,2025-05-5
4 nov 2024,273650,273710,273610,273610,273610,16,2025-05-5,2025-05-5
1 nov 2024,274550,275600,273420,273860,273860,109,2025-05-5,2025-05-5
31 oct 2024,278740,278750,273350,273830,273830,849,2025-05-5,2025-05-5
30 oct 2024,277460,278900,277460,278850,278850,231,2025-05-5,2025-05-5
29 oct 2024,276840,276840,276840,276840,276840,848,2025-05-5,2025-05-5
28 oct 2024,273610,274290,272950,274290,274290,56,2025-05-5,2025-05-5
25 oct 2024,272550,274240,272550,274090,274090,29,2025-05-5,2025-05-5
24 oct 2024,272900,273610,272900,273490,273490,27,2025-05-5,2025-05-5
23 oct 2024,274250,274250,271420,271440,271440,18,2025-05-5,2025-05-5
22 oct 2024,273170,274600,272860,274420,274420,93,2025-05-5,2025-05-5
21 oct 2024,272190,273840,271950,272310,272310,52,2025-05-5,2025-05-5
18 oct 2024,271370,271960,271370,271370,271370,29,2025-05-5,2025-05-5
17 oct 2024,267740,269170,267720,269100,269100,30,2025-05-5,2025-05-5
16 oct 2024,267400,267400,267400,267400,267400,6,2025-05-5,2025-05-5
15 oct 2024,266140,266140,266140,266140,266140,39,2025-05-5,2025-05-5
14 oct 2024,265500,265530,264780,264780,264780,40,2025-05-5,2025-05-5
11 oct 2024,263830,265810,263820,265760,265760,12,2025-05-5,2025-05-5
10 oct 2024,260250,262830,260250,262060,262060,320,2025-05-5,2025-05-5
9 oct 2024,260300,260770,260300,260600,260600,152,2025-05-5,2025-05-5
8 oct 2024,263900,263900,260930,261500,261500,687,2025-05-5,2025-05-5
7 oct 2024,264870,265740,263900,264480,264480,284,2025-05-5,2025-05-5
4 oct 2024,265600,266700,263900,264580,264580,114,2025-05-5,2025-05-5
